Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
12/18/09,WSH,L 109-118,46,9,17,5,9,4,4,8,4,0,3,4,2,27,REGULAR SEASON STATS,L,109,118
12/22/09,MEM,L 108-121,41,6,15,2,6,0,0,7,8,0,0,2,4,14,REGULAR SEASON STATS,L,108,121
12/23/09,NO,L 102-108,47,6,13,3,5,2,2,10,7,0,2,5,2,17,REGULAR SEASON STATS,L,102,108
12/26/09,PHX,W 132-127,27,4,10,3,4,2,2,3,4,0,3,4,1,13,REGULAR SEASON STATS,W,132,127
12/28/09,BOS,W 103-99,11,0,4,0,1,0,1,2,0,0,1,3,1,0,REGULAR SEASON STATS,W,103,99
12/29/09,LAL,L 118-124,23,6,10,0,1,3,3,3,3,0,0,3,4,15,REGULAR SEASON STATS,L,118,124
1/2/10,POR,L 89-105,29,4,10,1,2,0,0,1,1,0,1,4,3,9,REGULAR SEASON STATS,L,89,105
1/5/10,DEN,L 122-123,40,10,13,6,6,0,0,5,6,0,3,3,2,26,REGULAR SEASON STATS,L,122,123
1/6/10,MIN,W 107-101,30,7,11,0,2,2,2,1,4,0,2,6,1,16,REGULAR SEASON STATS,W,107,101
1/8/10,SAC,W 108-101,34,5,10,1,2,1,2,3,4,0,1,3,2,12,REGULAR SEASON STATS,W,108,101
1/11/10,CLE,L 114-117,36,8,15,1,2,4,5,7,5,1,1,4,2,21,REGULAR SEASON STATS,L,114,117
1/13/10,MIA,L 102-115,33,3,10,3,5,0,0,4,4,0,0,1,4,9,REGULAR SEASON STATS,L,102,115
1/15/10,MIL,L 104-113,48,7,17,1,4,3,3,6,4,1,6,6,4,18,REGULAR SEASON STATS,L,104,113
1/18/10,CHI,W 114-97,43,9,18,5,8,3,3,10,6,1,1,4,5,26,REGULAR SEASON STATS,W,114,97
1/20/10,DEN,L 118-123,49,6,17,3,8,0,0,3,6,0,1,2,3,15,REGULAR SEASON STATS,L,118,123
1/22/10,NJ,W 111-79,48,11,21,3,7,7,8,2,7,0,4,4,2,32,REGULAR SEASON STATS,W,111,79
1/23/10,PHX,L 103-112,40,10,25,4,9,1,1,5,2,0,0,4,1,25,REGULAR SEASON STATS,L,103,112
1/26/10,SAC,L 96-99,45,10,22,3,10,4,5,9,6,0,3,3,1,27,REGULAR SEASON STATS,L,96,99
1/27/10,NO,L 110-123,41,7,13,1,3,0,0,5,8,0,3,4,5,15,REGULAR SEASON STATS,L,110,123
1/29/10,CHA,L 110-121,41,8,15,2,4,4,4,1,9,0,3,3,1,22,REGULAR SEASON STATS,L,110,121
1/31/10,OKC,L 104-112,36,4,10,2,2,4,4,4,5,0,1,2,5,14,REGULAR SEASON STATS,L,104,112
2/2/10,HOU,L 97-119,30,6,18,2,5,0,0,2,4,0,1,1,0,14,REGULAR SEASON STATS,L,97,119
2/3/10,DAL,L 101-110,27,1,6,0,2,4,4,0,3,0,0,2,3,6,REGULAR SEASON STATS,L,101,110
2/6/10,OKC,L 95-104,27,9,15,3,7,2,3,1,4,0,2,3,3,23,REGULAR SEASON STATS,L,95,104
2/8/10,DAL,L 117-127,48,9,20,1,5,6,6,2,9,0,2,4,3,25,REGULAR SEASON STATS,L,117,127
2/10/10,LAC,W 132-102,46,11,22,7,11,7,8,10,13,0,3,4,6,36,REGULAR SEASON STATS,W,132,102
2/16/10,LAL,L 94-104,44,5,21,1,10,0,0,10,8,0,1,5,4,11,REGULAR SEASON STATS,L,94,104
2/17/10,SAC,W 130-98,40,10,15,1,4,3,3,6,15,0,3,2,3,24,REGULAR SEASON STATS,W,130,98
2/19/10,UTAH,L 89-100,39,4,9,3,6,2,2,6,7,0,3,1,10,13,REGULAR SEASON STATS,L,89,100
2/21/10,ATL,W 108-104,45,13,18,1,3,5,5,9,3,0,1,3,5,32,REGULAR SEASON STATS,W,108,104
2/23/10,PHI,L 102-110,38,8,22,1,8,0,1,6,5,0,0,2,2,17,REGULAR SEASON STATS,L,102,110
2/25/10,DEN,L 112-127,42,11,19,2,5,6,6,7,13,1,2,1,2,30,REGULAR SEASON STATS,L,112,127
2/27/10,DET,W 95-88,48,11,25,3,6,2,3,5,4,0,1,4,5,27,REGULAR SEASON STATS,W,95,88
3/2/10,MIA,L 106-110,43,7,17,3,8,1,1,2,8,0,2,5,3,18,REGULAR SEASON STATS,L,106,110
3/3/10,ORL,L 90-117,32,3,12,1,2,2,2,3,7,0,2,2,5,9,REGULAR SEASON STATS,L,90,117
3/5/10,ATL,L 122-127,48,11,19,5,9,4,4,5,11,0,2,1,7,31,REGULAR SEASON STATS,L,122,127
3/6/10,CHA,L 90-101,48,8,23,4,8,5,6,5,4,0,0,1,3,25,REGULAR SEASON STATS,L,90,101
3/8/10,NO,L 131-135,34,5,13,2,4,0,0,3,6,0,1,2,4,12,REGULAR SEASON STATS,L,131,135
3/11/10,POR,L 105-110,33,6,15,2,7,1,1,5,3,0,2,5,4,15,REGULAR SEASON STATS,L,105,110
3/13/10,TOR,W 124-112,42,13,21,5,8,4,4,6,10,1,4,1,2,35,REGULAR SEASON STATS,W,124,112
3/15/10,LAL,L 121-124,34,11,19,5,9,2,2,5,9,0,1,4,0,29,REGULAR SEASON STATS,L,121,124
3/17/10,NO,W 131-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,131,121
3/19/10,SA,L 116-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,116,147
3/20/10,MEM,L 107-123,25,4,10,1,3,0,0,4,6,1,0,2,2,9,REGULAR SEASON STATS,L,107,123
3/22/10,PHX,L 131-133,34,6,15,2,5,0,0,4,8,0,4,4,1,14,REGULAR SEASON STATS,L,131,133
3/24/10,MEM,W 128-110,40,12,19,4,6,2,2,5,11,0,4,3,7,30,REGULAR SEASON STATS,W,128,110
3/27/10,DAL,L 90-111,37,6,16,3,5,2,2,7,6,0,2,1,7,17,REGULAR SEASON STATS,L,90,111
3/28/10,LAC,W 121-103,40,8,15,2,2,0,0,4,7,0,1,5,3,18,REGULAR SEASON STATS,W,121,103
3/31/10,UTAH,L 104-128,34,6,16,1,4,2,3,2,6,0,0,5,4,15,REGULAR SEASON STATS,L,104,128
4/2/10,NY,W 128-117,29,7,21,1,5,0,0,4,10,0,1,1,2,15,REGULAR SEASON STATS,W,128,117
4/4/10,TOR,W 113-112,44,10,23,5,11,4,6,8,12,2,3,4,5,29,REGULAR SEASON STATS,W,113,112
4/6/10,WSH,L 94-112,33,10,21,3,6,4,4,1,4,0,2,2,2,27,REGULAR SEASON STATS,L,94,112
4/7/10,MIN,W 116-107,44,12,22,3,5,0,0,8,14,0,7,4,4,27,REGULAR SEASON STATS,W,116,107
4/10/10,LAC,L 104-107,41,10,19,5,10,4,4,9,4,0,3,5,3,29,REGULAR SEASON STATS,L,104,107
4/11/10,OKC,W 120-117,35,9,16,3,6,4,6,7,7,0,1,2,5,25,REGULAR SEASON STATS,W,120,117
4/13/10,UTAH,L 94-103,41,5,15,1,4,6,6,5,6,0,2,4,2,17,REGULAR SEASON STATS,L,94,103
4/14/10,POR,W 122-116,48,13,25,4,6,12,12,9,8,1,2,0,2,42,REGULAR SEASON STATS,W,122,116
10/27/10,HOU,W 132-128,39,9,16,3,6,4,4,2,11,1,0,4,5,25,REGULAR SEASON STATS,W,132,128
10/29/10,LAC,W 109-91,27,7,9,1,3,1,3,2,6,0,2,2,2,16,REGULAR SEASON STATS,W,109,91
10/31/10,LAL,L 83-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,83,107
11/3/10,MEM,W 115-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,115,109
11/5/10,UTAH,W 85-78,33,7,17,1,4,5,5,1,6,0,2,5,5,20,REGULAR SEASON STATS,W,85,78
11/7/10,DET,L 97-102,29,3,12,0,3,4,4,4,6,0,2,4,2,10,REGULAR SEASON STATS,L,97,102
11/8/10,TOR,W 109-102,36,12,21,2,4,8,8,5,4,0,3,2,5,34,REGULAR SEASON STATS,W,109,102
11/10/10,NY,W 122-117,45,11,20,1,1,2,3,6,8,1,2,4,2,25,REGULAR SEASON STATS,W,122,117
11/11/10,CHI,L 90-120,31,7,18,2,5,1,2,3,6,0,5,2,5,17,REGULAR SEASON STATS,L,90,120
11/13/10,MIL,L 72-79,30,3,14,0,3,1,2,2,4,1,3,5,2,7,REGULAR SEASON STATS,L,72,79
11/15/10,DET,W 101-97,30,7,14,2,3,5,5,5,4,0,2,6,3,21,REGULAR SEASON STATS,W,101,97
11/19/10,NY,L 119-125,42,9,21,3,6,8,9,5,8,0,1,4,4,29,REGULAR SEASON STATS,L,119,125
11/21/10,LAL,L 89-117,24,5,10,1,3,2,2,3,2,2,1,3,0,13,REGULAR SEASON STATS,L,89,117
11/22/10,DEN,L 89-106,41,8,21,1,6,0,0,7,5,0,3,3,2,17,REGULAR SEASON STATS,L,89,106
11/24/10,HOU,L 101-111,36,8,19,0,2,5,5,4,6,0,4,6,1,21,REGULAR SEASON STATS,L,101,111
11/26/10,MEM,L 111-116,30,8,13,4,5,6,6,2,4,0,1,5,3,26,REGULAR SEASON STATS,L,111,116
11/27/10,MIN,W 104-94,28,6,10,2,3,6,7,3,7,0,3,5,1,20,REGULAR SEASON STATS,W,104,94
11/30/10,SA,L 98-118,40,13,22,3,6,3,3,3,5,1,1,2,5,32,REGULAR SEASON STATS,L,98,118
12/2/10,PHX,L 101-107,34,4,10,1,3,0,0,1,7,0,4,4,4,9,REGULAR SEASON STATS,L,101,107
12/5/10,OKC,L 109-114,46,14,20,4,7,7,7,1,6,1,2,5,5,39,REGULAR SEASON STATS,L,109,114
12/7/10,DAL,L 100-105,42,8,16,3,5,2,2,6,4,0,2,2,6,21,REGULAR SEASON STATS,L,100,105
12/8/10,SA,L 94-111,11,0,2,0,0,0,0,1,3,0,0,2,2,0,REGULAR SEASON STATS,L,94,111
12/10/10,MIA,L 84-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,84,106
12/13/10,UTAH,L 95-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,95,108
12/14/10,MIN,W 108-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,108,99
12/18/10,POR,L 95-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,95,96
12/20/10,HOU,L 112-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,112,121
12/21/10,SAC,W 117-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,109
12/25/10,POR,W 109-102,29,2,15,0,5,0,0,4,11,0,0,2,2,4,REGULAR SEASON STATS,W,109,102
12/27/10,PHI,W 110-95,28,5,13,4,6,3,3,5,8,0,1,5,2,17,REGULAR SEASON STATS,W,110,95
12/29/10,ATL,L 93-103,29,4,13,0,3,1,1,5,12,0,0,2,3,9,REGULAR SEASON STATS,L,93,103
12/31/10,CHA,W 96-95,36,10,17,4,5,0,0,1,3,0,1,3,3,24,REGULAR SEASON STATS,W,96,95
1/1/11,MIA,L 107-114,36,7,12,1,2,0,0,2,6,0,3,5,1,15,REGULAR SEASON STATS,L,107,114
1/3/11,ORL,L 90-110,35,5,13,3,6,2,2,6,5,0,2,3,5,15,REGULAR SEASON STATS,L,90,110
1/5/11,NO,W 110-103,40,6,11,1,3,8,8,3,5,0,4,3,2,21,REGULAR SEASON STATS,W,110,103
1/7/11,CLE,W 116-98,25,4,7,3,4,4,4,2,4,1,2,2,0,15,REGULAR SEASON STATS,W,116,98
1/9/11,LAC,L 91-105,26,2,13,0,6,4,5,5,4,0,1,4,2,8,REGULAR SEASON STATS,L,91,105
1/12/11,LAL,L 110-115,38,5,12,1,6,4,4,4,10,0,2,3,3,15,REGULAR SEASON STATS,L,110,115
1/14/11,LAC,W 122-112,27,7,15,5,7,4,4,4,4,0,1,2,2,23,REGULAR SEASON STATS,W,122,112
1/17/11,NJ,W 109-100,23,4,10,2,5,3,4,2,6,1,0,4,2,13,REGULAR SEASON STATS,W,109,100
1/19/11,IND,W 110-108,33,4,10,0,3,3,3,4,8,0,2,1,1,11,REGULAR SEASON STATS,W,110,108
1/21/11,SAC,W 119-112,44,12,21,3,7,7,7,3,3,0,4,2,4,34,REGULAR SEASON STATS,W,119,112
1/22/11,LAC,L 109-113,41,12,23,3,9,5,5,6,8,1,1,5,2,32,REGULAR SEASON STATS,L,109,113
1/24/11,SA,L 102-113,36,6,15,2,5,0,0,6,5,1,0,4,4,14,REGULAR SEASON STATS,L,102,113
1/26/11,NO,L 103-112,39,8,13,1,3,3,3,3,6,0,2,1,5,20,REGULAR SEASON STATS,L,103,112
1/28/11,CHA,L 113-121,43,8,12,4,5,7,7,3,5,0,2,5,3,27,REGULAR SEASON STATS,L,113,121
1/30/11,UTAH,W 96-81,35,10,18,3,8,4,4,6,7,1,2,2,2,27,REGULAR SEASON STATS,W,96,81
2/3/11,MIL,W 100-94,34,6,11,2,4,2,2,5,5,1,1,2,7,16,REGULAR SEASON STATS,W,100,94
2/5/11,CHI,W 101-90,44,9,15,2,4,3,3,6,8,0,1,1,2,23,REGULAR SEASON STATS,W,101,90
2/7/11,PHX,L 92-104,44,7,17,0,6,1,1,2,8,0,1,1,5,15,REGULAR SEASON STATS,L,92,104
2/9/11,DEN,W 116-114,29,5,9,1,3,2,2,1,2,0,0,4,3,13,REGULAR SEASON STATS,W,116,114
2/10/11,PHX,L 88-112,25,5,9,2,3,0,0,2,2,0,1,0,4,12,REGULAR SEASON STATS,L,88,112
2/13/11,OKC,W 100-94,38,10,18,2,5,1,1,2,13,0,2,2,0,23,REGULAR SEASON STATS,W,100,94
2/15/11,NO,W 102-89,24,5,5,3,3,1,1,0,8,0,1,3,3,14,REGULAR SEASON STATS,W,102,89
2/16/11,UTAH,W 107-100,22,1,7,0,3,2,2,0,4,0,2,5,1,4,REGULAR SEASON STATS,W,107,100
2/22/11,BOS,L 93-115,30,7,10,1,2,3,5,4,2,0,1,4,5,18,REGULAR SEASON STATS,L,93,115
2/25/11,ATL,L 79-95,30,2,7,0,2,3,3,2,5,0,0,1,3,7,REGULAR SEASON STATS,L,79,95
2/27/11,MIN,L 123-126,45,13,21,5,7,2,2,11,2,0,2,1,2,33,REGULAR SEASON STATS,L,123,126
3/1/11,IND,L 100-109,35,7,17,4,8,2,2,6,7,1,0,5,5,20,REGULAR SEASON STATS,L,100,109
3/2/11,WSH,W 106-102,37,9,18,3,7,8,9,9,5,0,1,2,3,29,REGULAR SEASON STATS,W,106,102
3/4/11,BOS,L 103-107,32,4,11,1,4,0,0,3,5,0,0,3,4,9,REGULAR SEASON STATS,L,103,107
3/6/11,PHI,L 117-125,35,8,16,1,3,5,5,1,7,2,0,3,4,22,REGULAR SEASON STATS,L,117,125
3/8/11,CLE,W 95-85,39,10,18,2,5,1,1,7,6,1,2,3,3,23,REGULAR SEASON STATS,W,95,85
3/9/11,NJ,L 90-94,30,6,15,2,4,1,1,3,3,0,2,3,3,15,REGULAR SEASON STATS,L,90,94
3/11/11,ORL,W 123-120,40,8,19,4,10,2,2,4,12,0,3,4,5,22,REGULAR SEASON STATS,W,123,120
3/13/11,MIN,W 100-77,38,8,15,4,6,4,4,9,6,0,2,2,1,24,REGULAR SEASON STATS,W,100,77
3/14/11,SAC,L 119-129,24,7,14,5,8,0,0,3,1,1,1,1,3,19,REGULAR SEASON STATS,L,119,129
3/16/11,DAL,L 106-112,32,4,10,2,4,0,1,0,5,0,1,2,3,10,REGULAR SEASON STATS,L,106,112
3/18/11,PHX,L 97-108,35,6,13,2,5,1,1,2,5,0,0,3,2,15,REGULAR SEASON STATS,L,97,108
3/20/11,DAL,L 73-101,31,4,12,1,3,2,3,6,6,0,0,4,2,11,REGULAR SEASON STATS,L,73,101
3/21/11,SA,L 96-111,20,3,8,1,2,1,1,0,2,0,0,4,1,8,REGULAR SEASON STATS,L,96,111
3/23/11,HOU,L 112-131,30,7,16,2,3,0,0,6,6,0,1,4,4,16,REGULAR SEASON STATS,L,112,131
3/25/11,TOR,W 138-100,36,7,13,4,6,5,5,3,8,0,0,2,3,23,REGULAR SEASON STATS,W,138,100
3/27/11,WSH,W 114-104,28,3,11,1,4,3,3,5,4,1,1,5,5,10,REGULAR SEASON STATS,W,114,104
3/29/11,OKC,L 114-115,49,13,23,5,8,4,4,6,5,0,2,3,6,35,REGULAR SEASON STATS,L,114,115
3/30/11,MEM,L 91-110,31,2,14,1,6,1,1,6,9,0,1,4,6,6,REGULAR SEASON STATS,L,91,110
4/2/11,DAL,W 99-92,32,3,8,1,3,5,5,4,8,0,2,5,3,12,REGULAR SEASON STATS,W,99,92
4/5/11,POR,W 108-87,42,10,21,3,5,5,6,8,4,1,2,2,2,28,REGULAR SEASON STATS,W,108,87
4/6/11,LAL,W 95-87,42,8,23,2,6,2,2,6,5,0,2,3,2,20,REGULAR SEASON STATS,W,95,87
4/10/11,SAC,L 103-104,32,11,17,3,6,2,2,6,8,0,1,4,3,27,REGULAR SEASON STATS,L,103,104
4/11/11,DEN,L 111-134,36,10,13,3,4,4,4,5,5,0,0,1,5,27,REGULAR SEASON STATS,L,111,134
4/13/11,POR,W 110-86,24,7,11,2,4,2,2,3,9,0,0,4,1,18,REGULAR SEASON STATS,W,110,86
12/25/11,LAC,L 86-105,33,2,12,0,4,0,1,5,4,2,2,4,5,4,REGULAR SEASON STATS,L,86,105
12/26/11,CHI,W 99-91,37,7,12,1,3,6,7,7,10,0,6,4,4,21,REGULAR SEASON STATS,W,99,91
12/28/11,NY,W 92-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,92,78
12/31/11,PHI,L 79-107,30,9,15,3,8,0,0,4,4,0,0,3,5,21,REGULAR SEASON STATS,L,79,107
1/2/12,PHX,L 91-102,23,4,8,2,3,0,0,2,2,0,1,5,2,10,REGULAR SEASON STATS,L,91,102
1/4/12,SA,L 95-101,30,7,11,3,4,3,3,3,8,0,0,2,2,20,REGULAR SEASON STATS,L,95,101
1/6/12,LAL,L 90-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,90,97
1/7/12,UTAH,L 87-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,87,88
1/10/12,MIA,W 111-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,111,106
1/12/12,ORL,L 109-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,109,117
1/14/12,CHA,L 100-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,100,112
1/15/12,DET,W 99-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,99,91
1/17/12,CLE,W 105-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,105,95
1/18/12,NJ,L 100-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,100,107
1/20/12,IND,L 91-94,29,5,15,2,6,0,0,2,3,0,0,2,3,12,REGULAR SEASON STATS,L,91,94
1/23/12,MEM,L 90-91,36,8,18,2,7,0,0,6,5,0,3,3,5,18,REGULAR SEASON STATS,L,90,91
1/25/12,POR,W 101-93,38,12,19,6,8,2,3,6,7,0,4,0,1,32,REGULAR SEASON STATS,W,101,93
1/27/12,OKC,L 109-120,27,6,16,2,7,1,1,2,6,0,2,4,4,15,REGULAR SEASON STATS,L,109,120
1/31/12,SAC,W 93-90,26,1,7,0,3,1,2,3,8,1,1,1,0,3,REGULAR SEASON STATS,W,93,90
2/2/12,UTAH,W 119-101,38,10,14,2,5,7,8,5,12,0,3,4,3,29,REGULAR SEASON STATS,W,119,101
2/4/12,SAC,L 106-114,29,4,14,3,8,0,0,2,9,0,4,1,5,11,REGULAR SEASON STATS,L,106,114
2/7/12,OKC,L 116-119,43,7,9,1,2,1,2,7,10,0,2,3,3,16,REGULAR SEASON STATS,L,116,119
2/9/12,DEN,W 109-101,36,13,17,6,9,4,7,7,7,2,0,3,1,36,REGULAR SEASON STATS,W,109,101
2/12/12,HOU,W 106-97,34,5,14,3,6,1,1,0,5,0,2,4,2,14,REGULAR SEASON STATS,W,106,97
2/13/12,PHX,W 102-96,32,3,10,1,4,2,2,7,5,0,1,2,2,9,REGULAR SEASON STATS,W,102,96
2/15/12,POR,L 91-93,38,3,10,0,2,2,2,3,8,2,2,2,2,8,REGULAR SEASON STATS,L,91,93
2/17/12,OKC,L 87-110,28,4,13,3,5,0,0,2,4,0,0,2,4,11,REGULAR SEASON STATS,L,87,110
2/18/12,MEM,L 103-104,40,13,21,6,9,4,4,2,6,0,2,5,2,36,REGULAR SEASON STATS,L,103,104
2/20/12,LAC,W 104-97,33,3,6,3,5,2,2,3,6,1,0,3,3,11,REGULAR SEASON STATS,W,104,97
2/22/12,PHX,W 106-104,10,3,7,1,3,2,2,0,2,0,2,1,1,9,REGULAR SEASON STATS,W,106,104
2/28/12,IND,L 78-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,78,102
2/29/12,ATL,W 85-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,85,82
3/2/12,PHI,L 83-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,83,105
3/4/12,TOR,L 75-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,75,83
3/5/12,WSH,W 120-100,9,5,7,2,3,0,0,1,1,0,1,1,0,12,REGULAR SEASON STATS,W,120,100
3/7/12,MEM,L 92-110,24,7,11,1,2,0,0,4,3,0,0,3,2,15,REGULAR SEASON STATS,L,92,110
3/10/12,DAL,W 111-87,16,4,7,2,4,0,0,2,2,0,1,0,3,10,REGULAR SEASON STATS,W,111,87
3/11/12,LAC,W 97-93,9,0,3,0,1,0,0,3,1,0,0,0,1,0,REGULAR SEASON STATS,W,97,93
3/13/12,SAC,W 115-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,115,89
3/14/12,BOS,L 103-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,103,105
3/16/12,MIL,L 98-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,98,120
3/17/12,UTAH,L 92-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,92,99
3/19/12,MIN,L 93-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,93,97
3/21/12,NO,W 101-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,101,92
3/22/12,HOU,L 83-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,83,109
3/24/12,SAC,W 111-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,111,108
3/25/12,POR,L 87-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,87,90
3/27/12,LAL,L 101-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,101,104
3/28/12,NO,L 87-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,87,102
3/30/12,NJ,L 100-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,100,102
4/1/12,LAL,L 112-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,112,120
4/3/12,MEM,L 94-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,94,98
4/4/12,MIN,W 97-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,97,94
4/6/12,UTAH,L 98-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,98,104
4/7/12,DEN,W 112-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,112,97
